nthreads rand100Kx10000K+cpt rand100Kx10000K+pct rand100Kx1000K+cpt rand100Kx1000K+pct rand100Kx100K+cpt rand100Kx100K+pct rand100Kx2000K+cpt rand100Kx2000K+pct rand100Kx5000K+cpt rand100Kx5000K+pct rand100Kx500K+cpt rand100Kx500K+pct rmat100Kx10000K+cpt rmat100Kx10000K+pct rmat100Kx1000K+cpt rmat100Kx1000K+pct rmat100Kx100K+cpt rmat100Kx100K+pct rmat100Kx2000K+cpt rmat100Kx2000K+pct rmat100Kx5000K+cpt rmat100Kx5000K+pct rmat100Kx500K+cpt rmat100Kx500K+pct ssca100Kx1180K+cpt ssca100Kx1180K+pct ssca100Kx12000K+cpt ssca100Kx12000K+pct ssca100Kx280K+cpt ssca100Kx280K+pct ssca100Kx2980K+cpt ssca100Kx2980K+pct ssca100Kx600K+cpt ssca100Kx600K+pct ssca100Kx6030K+cpt ssca100Kx6030K+pct 
1 1003623130.000000 972470310.000000 138584930.000000 138854130.000000 25761710.000000 25824700.000000 253599850.000000 256002180.000000 541682250.000000 535067010.000000 76645250.000000 77277280.000000 828987620.000000 830483700.000000 114453870.000000 119764670.000000 20845520.000000 20430010.000000 224838530.000000 218650430.000000 470618740.000000 463148690.000000 65025720.000000 64016240.000000 113455460.000000 114682150.000000 715156510.000000 710638650.000000 39979270.000000 40091220.000000 236120100.000000 245072720.000000 69097790.000000 69124960.000000 423761490.000000 396442140.000000 
2 671934310.000000 1061368920.000000 101821400.000000 271753580.000000 26745870.000000 82949770.000000 175977530.000000 369733130.000000 369653330.000000 637904080.000000 61811910.000000 211688510.000000 563796200.000000 917259740.000000 85290090.000000 235975170.000000 18650630.000000 61317150.000000 153159970.000000 319489230.000000 321987980.000000 550139010.000000 51191610.000000 171152470.000000 87840830.000000 281591570.000000 487242560.000000 858661600.000000 35304820.000000 108289920.000000 171935870.000000 429810660.000000 57969100.000000 191986950.000000 294493570.000000 583370580.000000 
3 588842220.000000 773658320.000000 87655750.000000 258629410.000000 27888220.000000 90462760.000000 144019090.000000 323157010.000000 288437380.000000 491528470.000000 57116960.000000 182830860.000000 476454380.000000 666601280.000000 71439530.000000 224829670.000000 19257740.000000 61305070.000000 122507440.000000 297368820.000000 250830510.000000 432088230.000000 45348650.000000 151505950.000000 74757630.000000 234548840.000000 385250070.000000 697878800.000000 35459710.000000 112393190.000000 138111880.000000 397382080.000000 52731030.000000 162271040.000000 233914160.000000 517098260.000000 
4 629854730.000000 637514600.000000 82861200.000000 241924100.000000 27972750.000000 95794040.000000 133762450.000000 308075050.000000 265885810.000000 425036480.000000 55762090.000000 161056850.000000 493024790.000000 558795050.000000 65404120.000000 202735190.000000 18560090.000000 63468460.000000 111455900.000000 282334900.000000 224773430.000000 390494550.000000 41661260.000000 130343390.000000 69326990.000000 201613050.000000 352297410.000000 630816510.000000 36001580.000000 112104190.000000 123639380.000000 356787150.000000 50302180.000000 155241210.000000 213281090.000000 479791850.000000 
5 748149260.000000 553367340.000000 83771510.000000 211486060.000000 30427020.000000 83830590.000000 129284860.000000 287767120.000000 254792750.000000 380292410.000000 56906710.000000 140663470.000000 568386190.000000 491498370.000000 64197190.000000 173882890.000000 19448320.000000 59327840.000000 107124590.000000 252905320.000000 215143790.000000 353424410.000000 41251590.000000 112769420.000000 69190970.000000 169196340.000000 346213070.000000 556346800.000000 38286330.000000 104331280.000000 119528170.000000 306716510.000000 51317190.000000 142375080.000000 205878260.000000 424059220.000000 
6 896397750.000000 492467880.000000 87374060.000000 189474350.000000 32757840.000000 92227910.000000 130849880.000000 277906660.000000 252168100.000000 359686520.000000 59923640.000000 140136520.000000 661958880.000000 455477100.000000 65765280.000000 155424390.000000 20198070.000000 60028900.000000 107732670.000000 237136390.000000 212444150.000000 339516710.000000 42296720.000000 104717770.000000 71246920.000000 157135910.000000 358675030.000000 524014310.000000 41315640.000000 108808070.000000 122443450.000000 276321600.000000 54148460.000000 134214680.000000 207381990.000000 398330450.000000 
7 890843220.000000 454294150.000000 181887380.000000 172745360.000000 79410210.000000 94178550.000000 276785680.000000 264591370.000000 380683620.000000 347402020.000000 135123690.000000 141861990.000000 701545240.000000 435758380.000000 139860840.000000 142014500.000000 47779930.000000 60476010.000000 220129920.000000 219825750.000000 336859650.000000 330490790.000000 90750280.000000 97432550.000000 152175360.000000 148836660.000000 536642270.000000 498493240.000000 100796830.000000 109771530.000000 264475060.000000 247776810.000000 130449910.000000 135209760.000000 385317530.000000 375283820.000000 
8 944611470.000000 429941480.000000 173574080.000000 161301840.000000 90566980.000000 96038490.000000 275963590.000000 248565110.000000 385077690.000000 339532470.000000 145234000.000000 143844330.000000 708016110.000000 423462980.000000 135249420.000000 130356720.000000 54640780.000000 60814700.000000 220778040.000000 203207730.000000 354917190.000000 321870750.000000 93143490.000000 92772270.000000 148652020.000000 145514700.000000 562867770.000000 478245360.000000 109836510.000000 109982060.000000 252760040.000000 227406460.000000 134808930.000000 131780180.000000 389803720.000000 351867980.000000 
9 657117660.000000 420838420.000000 162779970.000000 153635200.000000 93678780.000000 92231070.000000 261414760.000000 234603440.000000 374113640.000000 336676390.000000 148309420.000000 139573290.000000 573987540.000000 408762600.000000 127244890.000000 123398610.000000 56902980.000000 59017240.000000 209325270.000000 189127930.000000 345901440.000000 310183900.000000 90832440.000000 89616880.000000 146992510.000000 145679570.000000 521439960.000000 457806520.000000 111317300.000000 107210620.000000 232962080.000000 211188740.000000 134932170.000000 131025680.000000 376739690.000000 332851870.000000 
10 490957940.000000 406440610.000000 156065120.000000 149174560.000000 95121880.000000 94146430.000000 245957340.000000 219330900.000000 374180230.000000 331732340.000000 146244810.000000 142660360.000000 486646110.000000 405613640.000000 119545690.000000 116596960.000000 58084170.000000 59727570.000000 194802090.000000 176227240.000000 339449580.000000 303940940.000000 89659310.000000 89669380.000000 144575690.000000 138298790.000000 508232810.000000 443354330.000000 111168820.000000 108624370.000000 218239510.000000 197918250.000000 133460050.000000 129957870.000000 361850550.000000 314044120.000000 
