nthreads rand10Mx100M+cpt rand10Mx100M+pct rand10Mx10M+cpt rand10Mx10M+pct rand10Mx200M+cpt rand10Mx200M+pct rand10Mx50M+cpt rand10Mx50M+pct rmat10Mx100M+cpt rmat10Mx100M+pct rmat10Mx10M+cpt rmat10Mx10M+pct rmat10Mx200M+cpt rmat10Mx200M+pct rmat10Mx50M+cpt rmat10Mx50M+pct ssca10Mx118M+cpt ssca10Mx118M+pct ssca10Mx300M+cpt ssca10Mx300M+pct ssca10Mx32M+cpt ssca10Mx32M+pct ssca10Mx60M+cpt ssca10Mx60M+pct 
1 102539942060.000000 107750105160.000000 15184625900.000000 15169585580.000000 209893965200.000000 213975771060.000000 54845508820.000000 54919675780.000000 90586488160.000000 90974496770.000000 12277165580.000000 12289471880.000000 172578068230.000000 172588490380.000000 48837593160.000000 48790363550.000000 80109759630.000000 80137404420.000000 172477341880.000000 172259141290.000000 32354681260.000000 32277977870.000000 49491705950.000000 49452109180.000000 
2 69194342850.000000 57544281660.000000 18297397590.000000 15379488440.000000 132546951530.000000 110336055100.000000 38746748570.000000 32489280430.000000 56054860510.000000 46809735140.000000 12888885880.000000 10889324420.000000 102174882840.000000 84828383620.000000 33372207760.000000 28036501540.000000 56858787710.000000 48857905260.000000 113693198310.000000 97246061740.000000 29680870050.000000 25178184160.000000 37828941640.000000 32386392990.000000 
3 62861499350.000000 41403114790.000000 21212814340.000000 14586589620.000000 126304592890.000000 78780784420.000000 42252412480.000000 27671974220.000000 51579140990.000000 34609340030.000000 15264696170.000000 10411070990.000000 89118828340.000000 60063418570.000000 34319252820.000000 22983890520.000000 54707286200.000000 37121655490.000000 99853880190.000000 68457937390.000000 33477804780.000000 23035357930.000000 41163951760.000000 27817376080.000000 
4 64657550230.000000 34213483870.000000 24023384670.000000 15168978800.000000 116195115300.000000 64684576300.000000 46448433740.000000 25279154960.000000 52714176070.000000 28596562050.000000 17002359150.000000 10516049360.000000 85879841990.000000 46223559140.000000 36561267250.000000 20433295630.000000 56572907700.000000 32545892180.000000 96950955470.000000 54022899280.000000 37335717070.000000 22153956210.000000 45295104190.000000 25581307650.000000 
5 67701560120.000000 36347735990.000000 25784283780.000000 17389531550.000000 102040928350.000000 62849169490.000000 50012733140.000000 27551831920.000000 52920621670.000000 30080984020.000000 18554232570.000000 12089392230.000000 83317369140.000000 47277081120.000000 38895407720.000000 22142312600.000000 60911766670.000000 33919441540.000000 95207706280.000000 53445459240.000000 39931018370.000000 24509137910.000000 47425751360.000000 27626143900.000000 
6 68951823720.000000 34018970850.000000 29490455280.000000 17772199510.000000 94718504650.000000 56146268600.000000 52273028950.000000 26564420750.000000 53311461590.000000 27322668790.000000 20801671150.000000 12196290210.000000 78808125290.000000 40258615070.000000 40835888060.000000 21070488850.000000 63091202610.000000 32106874460.000000 94342886160.000000 47228615860.000000 43923262800.000000 24619588480.000000 51280544300.000000 27195092100.000000 
7 66452632660.000000 32876549610.000000 26575137960.000000 16841121350.000000 86497043450.000000 53747706530.000000 50468845960.000000 26024378100.000000 50982040430.000000 26362330700.000000 19492381420.000000 11795305480.000000 73282963220.000000 37260231460.000000 39181428050.000000 20635879270.000000 58279560070.000000 30742112360.000000 86695913610.000000 44160568810.000000 41034351190.000000 23765489650.000000 48693212680.000000 26402314540.000000 
8 63287685980.000000 31571671550.000000 26174485680.000000 17388990730.000000 80132696040.000000 53621315140.000000 49548081060.000000 25821157350.000000 47268082860.000000 25045646840.000000 19061019950.000000 11882573300.000000 67007728870.000000 33894226720.000000 36524439130.000000 20032430170.000000 56941547170.000000 29866306310.000000 80651310410.000000 41692884400.000000 39936113000.000000 23901977680.000000 47085899740.000000 26191717350.000000 
9 58657506470.000000 35627943610.000000 23904061570.000000 20973585320.000000 72002964280.000000 55028495290.000000 47409305440.000000 30938025570.000000 43430808540.000000 28173364050.000000 17826290760.000000 14700324630.000000 59781897880.000000 37917485490.000000 34854416830.000000 23689781960.000000 53033134060.000000 34550278460.000000 72245921680.000000 46112853130.000000 37077122060.000000 29304731440.000000 44532538560.000000 31945793610.000000 
10 57431849850.000000 36610376420.000000 23224216270.000000 20513557220.000000 71403546150.000000 58895577500.000000 46351396510.000000 31647959210.000000 43426645110.000000 28874534230.000000 17292609600.000000 14466490630.000000 58860109100.000000 38065355670.000000 34766638630.000000 24347066800.000000 52176248710.000000 35237827960.000000 72562686320.000000 47355259880.000000 36010059770.000000 29001371050.000000 43482433300.000000 32224678470.000000 
