nthreads rand1Mx100M+cpt rand1Mx100M+pct rand1Mx10M+cpt rand1Mx10M+pct rand1Mx1M+cpt rand1Mx1M+pct rand1Mx20M+cpt rand1Mx20M+pct rand1Mx50M+cpt rand1Mx50M+pct rand1Mx5M+cpt rand1Mx5M+pct rmat1Mx100M+cpt rmat1Mx100M+pct rmat1Mx10M+cpt rmat1Mx10M+pct rmat1Mx1M+cpt rmat1Mx1M+pct rmat1Mx20M+cpt rmat1Mx20M+pct rmat1Mx50M+cpt rmat1Mx50M+pct rmat1Mx5M+cpt rmat1Mx5M+pct ssca1Mx119M+cpt ssca1Mx119M+pct ssca1Mx11M+cpt ssca1Mx11M+pct ssca1Mx29M+cpt ssca1Mx29M+pct ssca1Mx3M+cpt ssca1Mx3M+pct ssca1Mx59M+cpt ssca1Mx59M+pct ssca1Mx6M+cpt ssca1Mx6M+pct 
1 50800386150.000000 51110121140.000000 6919556890.000000 6900474850.000000 1081904540.000000 1081580090.000000 12491412620.000000 12471391410.000000 27748498390.000000 27559476100.000000 3872457920.000000 3865841330.000000 38246139050.000000 38201368240.000000 5699075140.000000 5700514650.000000 773932490.000000 771829480.000000 10331605310.000000 10345004980.000000 21852859920.000000 21657906390.000000 2979552230.000000 2976049380.000000 35902254790.000000 35689264120.000000 5660691370.000000 5647671790.000000 11290832260.000000 11280400080.000000 1891308140.000000 1893009670.000000 19884856010.000000 20071394420.000000 3341088260.000000 3342400960.000000 
2 36320270780.000000 28278443170.000000 4335168860.000000 4031494130.000000 1126891340.000000 1111184240.000000 8005723630.000000 7051790660.000000 18426134250.000000 15455475430.000000 2588198640.000000 2479621160.000000 27400541750.000000 22216282970.000000 3407351100.000000 3341429340.000000 644588940.000000 684140770.000000 6390531510.000000 5917125740.000000 14602411700.000000 12533071750.000000 1862993250.000000 1892935640.000000 24643736390.000000 20641079650.000000 3670445280.000000 3676075290.000000 7336439350.000000 6922514680.000000 1660384070.000000 1530240780.000000 13246994200.000000 11746664660.000000 2464921490.000000 2420274500.000000 
3 38653757720.000000 19919949100.000000 3563434210.000000 3037812930.000000 1278124170.000000 1124815740.000000 7275893330.000000 5141079720.000000 19101921290.000000 10981020250.000000 2612276560.000000 2157381620.000000 30566123390.000000 15411319520.000000 2730668840.000000 2462457790.000000 664700500.000000 659524700.000000 5336767920.000000 4220530740.000000 15281155780.000000 8744124660.000000 1618679960.000000 1502538210.000000 23425306520.000000 14748224570.000000 3271404800.000000 2799610420.000000 5842358260.000000 5064878930.000000 1798649010.000000 1475410880.000000 10980039180.000000 8567391690.000000 2483546830.000000 2061983540.000000 
4 40106212200.000000 15774176250.000000 3557970580.000000 2626882380.000000 1359219230.000000 1133394700.000000 6737336930.000000 4255443170.000000 19383281230.000000 8840587970.000000 2691649170.000000 1991051190.000000 33097700560.000000 12369832420.000000 2462200100.000000 2046783080.000000 688637190.000000 654124200.000000 4697992710.000000 3424084990.000000 15603688690.000000 7045087330.000000 1575961070.000000 1320388240.000000 22133373010.000000 11948324150.000000 3321526710.000000 2459028500.000000 5504324370.000000 4126408080.000000 1920245790.000000 1448055340.000000 10174834690.000000 6985539110.000000 2573243280.000000 1909487640.000000 
5 35293421760.000000 16632161850.000000 3547781250.000000 2579927050.000000 1495868170.000000 1213475280.000000 5936768070.000000 3975649850.000000 17025880780.000000 8851250600.000000 2805500550.000000 2008273290.000000 29829946300.000000 12698190650.000000 2299145810.000000 1842201660.000000 730807760.000000 657705340.000000 4162544490.000000 3092909260.000000 13303332470.000000 6836019160.000000 1570793330.000000 1243781540.000000 19541439350.000000 11640452000.000000 3291357720.000000 2395307600.000000 5288396040.000000 3748632020.000000 2080658750.000000 1555064020.000000 9301760370.000000 6392386390.000000 2695710510.000000 1927625440.000000 
6 31847446190.000000 14007423050.000000 3697820310.000000 2447873770.000000 1641354520.000000 1216383430.000000 5064218010.000000 3494873650.000000 15034322010.000000 7538926090.000000 3034193250.000000 1922622960.000000 27128075500.000000 10839209380.000000 2243594520.000000 1666201220.000000 788654200.000000 657696940.000000 3846912040.000000 2682083180.000000 11742203040.000000 5802014900.000000 1611933320.000000 1167901950.000000 17463559560.000000 9899744400.000000 3446214640.000000 2240926320.000000 4853212590.000000 3334832300.000000 2270711300.000000 1544954140.000000 8132116710.000000 5531912980.000000 2921012380.000000 1865874510.000000 
7 28114503520.000000 12554434660.000000 3758599280.000000 2340200170.000000 1674808310.000000 1257156720.000000 4929966150.000000 3183239620.000000 13394063970.000000 6708953600.000000 2980139550.000000 1876918580.000000 23099731860.000000 9555807270.000000 2218003980.000000 1538966790.000000 847449760.000000 658211010.000000 3582716210.000000 2427437780.000000 9985843640.000000 5127194090.000000 1629582480.000000 1108834390.000000 15615237690.000000 8746190450.000000 3356835560.000000 2145218130.000000 4840060970.000000 3102164590.000000 2269024110.000000 1545376820.000000 7766933920.000000 4968416470.000000 2863255500.000000 1850242270.000000 
8 24995729540.000000 11229491890.000000 3633770190.000000 2267617180.000000 1639438990.000000 1231234620.000000 4822042100.000000 3005682940.000000 11724613590.000000 6040644430.000000 2995035940.000000 1846797740.000000 19689614960.000000 8616748540.000000 2174183360.000000 1464528360.000000 863097140.000000 662255630.000000 3368875240.000000 2229096030.000000 8616250840.000000 4616742370.000000 1612217050.000000 1067772920.000000 13756356640.000000 7875864320.000000 3352920800.000000 2079386650.000000 4772572690.000000 2938547440.000000 2247090870.000000 1539016650.000000 7193861860.000000 4553511560.000000 2869558630.000000 1827833670.000000 
9 22220218700.000000 14120675050.000000 3349935520.000000 2445858330.000000 1628879780.000000 1401924040.000000 4212079040.000000 3119608290.000000 9759995340.000000 6533199030.000000 2909692670.000000 2153720530.000000 17604150510.000000 10014200150.000000 2022665160.000000 1508388150.000000 866665690.000000 732399490.000000 3091016220.000000 2265535710.000000 7172322350.000000 4641165760.000000 1551081870.000000 1152909870.000000 11325862380.000000 7829062670.000000 3257327690.000000 2350817560.000000 4127749110.000000 3062550140.000000 2205900850.000000 1771637910.000000 6043726960.000000 4513453240.000000 2798347230.000000 2107351850.000000 
10 20067536100.000000 12871015960.000000 3426922770.000000 2463947390.000000 1603795180.000000 1403738580.000000 4469790300.000000 3233799070.000000 9038325340.000000 6149508990.000000 2755434900.000000 2027140120.000000 15183515110.000000 9254062260.000000 1982807650.000000 1482486200.000000 859372360.000000 730965760.000000 2967582810.000000 2205412830.000000 6524002600.000000 4438021020.000000 1447168280.000000 1095625620.000000 10752955220.000000 7460148890.000000 3117081190.000000 2206459410.000000 4196152940.000000 3111898920.000000 2157295300.000000 1767291780.000000 6030172860.000000 4417345600.000000 2735403850.000000 2079171580.000000 
11 18181310720.000000 11577803280.000000 3158700860.000000 2331260760.000000 1567989790.000000 1399881630.000000 3807351460.000000 2910959810.000000 7545736130.000000 5305144580.000000 2777833430.000000 2088776000.000000 13652470160.000000 8082096710.000000 1845392680.000000 1412624310.000000 850353520.000000 733167470.000000 2602801390.000000 1973811560.000000 5618483600.000000 3891960980.000000 1434707990.000000 1105251230.000000 9118040030.000000 6608323160.000000 3034860740.000000 2247972670.000000 3784041460.000000 2817561530.000000 2112356470.000000 1762241220.000000 5130195190.000000 3953992110.000000 2678012540.000000 2066365070.000000 
12 16742370730.000000 10680748690.000000 3352042750.000000 2308535910.000000 1537143700.000000 1390320050.000000 4136097250.000000 2813591460.000000 7338902640.000000 4918584470.000000 2859013440.000000 2081600580.000000 12430583240.000000 7436329780.000000 1861826670.000000 1386387870.000000 840623290.000000 732578240.000000 2588087670.000000 1888560690.000000 5366845870.000000 3653750050.000000 1454264180.000000 1097218150.000000 8983295030.000000 6192347980.000000 3052759500.000000 2185526090.000000 3922277010.000000 2709157550.000000 2066246510.000000 1752249000.000000 5510702600.000000 3799519770.000000 2667011270.000000 2075323400.000000 
13 15598665790.000000 13252018990.000000 3293865890.000000 2595882520.000000 1516230820.000000 1524986890.000000 4113402340.000000 3184281580.000000 6934858540.000000 5566608520.000000 2762827810.000000 2387902910.000000 11432560780.000000 8876633840.000000 1853190580.000000 1502142800.000000 829234590.000000 800927190.000000 2572842090.000000 2075240380.000000 5164352590.000000 3967583760.000000 1428365940.000000 1208031540.000000 8538095510.000000 6837190220.000000 2961488370.000000 2520117770.000000 3911030030.000000 3056168890.000000 2007200780.000000 1944945260.000000 5304914690.000000 4229314520.000000 2577736510.000000 2322349500.000000 
14 14363663850.000000 12066286940.000000 3099394200.000000 2667487740.000000 1513201930.000000 1510401500.000000 4001301140.000000 3309986680.000000 6196912630.000000 5220919150.000000 2690236000.000000 2416037670.000000 10253913210.000000 8110570020.000000 1700627400.000000 1500438730.000000 830025080.000000 798831570.000000 2396170250.000000 2067214610.000000 4634297740.000000 3856936880.000000 1375093530.000000 1199082270.000000 7867182780.000000 6431919290.000000 2881034660.000000 2509575410.000000 3702956200.000000 3142378370.000000 2006449480.000000 1925148300.000000 4906908470.000000 4150565980.000000 2545595350.000000 2320579990.000000 
15 13460768080.000000 11124237940.000000 3158361260.000000 2535545590.000000 1518242410.000000 1503917550.000000 3959785560.000000 3201432960.000000 6009631320.000000 4927194090.000000 2771505690.000000 2377587160.000000 9576304930.000000 7516118290.000000 1741660850.000000 1450316570.000000 834240410.000000 796231690.000000 2391533170.000000 1960395070.000000 4519689900.000000 3642707650.000000 1392631060.000000 1189136670.000000 7564715160.000000 6091204050.000000 2966275450.000000 2456705600.000000 3759094670.000000 3004057310.000000 1993795070.000000 1914768060.000000 4971338080.000000 4015258290.000000 2525127530.000000 2297972930.000000 
16 12475965360.000000 10230688880.000000 3186303170.000000 2525288880.000000 1500657060.000000 1498188710.000000 3861762750.000000 3183109840.000000 5687462380.000000 4661801160.000000 2704146540.000000 2332720860.000000 8861514450.000000 6950261770.000000 1703951940.000000 1436211090.000000 825642690.000000 795153920.000000 2312613240.000000 1923873090.000000 4243834470.000000 3472615690.000000 1352863190.000000 1168625620.000000 7151093060.000000 5806857440.000000 2956914570.000000 2431717980.000000 3708446480.000000 3032517780.000000 1967753230.000000 1907259840.000000 4781010710.000000 3918804210.000000 2484978330.000000 2294006890.000000 
17 11689694260.000000 10580885050.000000 3071908480.000000 2886898630.000000 1486961530.000000 1706447930.000000 3807205020.000000 3476999120.000000 5397782500.000000 4989037220.000000 2623749600.000000 2615219830.000000 8285744630.000000 7478362680.000000 1686442440.000000 1504196360.000000 820593730.000000 876180200.000000 2272290010.000000 2034790990.000000 4094314470.000000 3699807520.000000 1330893110.000000 1272342990.000000 6862394030.000000 6204280250.000000 2858632850.000000 2783921580.000000 3626251690.000000 3213099640.000000 1945193100.000000 2158528580.000000 4680033810.000000 4215876090.000000 2466786350.000000 2588833690.000000 
