nthreads rand100Kx10000K+cpt rand100Kx10000K+pct rand100Kx1000K+cpt rand100Kx1000K+pct rand100Kx100K+cpt rand100Kx100K+pct rand100Kx2000K+cpt rand100Kx2000K+pct rand100Kx5000K+cpt rand100Kx5000K+pct rand100Kx500K+cpt rand100Kx500K+pct rmat100Kx10000K+cpt rmat100Kx10000K+pct rmat100Kx1000K+cpt rmat100Kx1000K+pct rmat100Kx100K+cpt rmat100Kx100K+pct rmat100Kx2000K+cpt rmat100Kx2000K+pct rmat100Kx5000K+cpt rmat100Kx5000K+pct rmat100Kx500K+cpt rmat100Kx500K+pct ssca100Kx1180K+cpt ssca100Kx1180K+pct ssca100Kx12000K+cpt ssca100Kx12000K+pct ssca100Kx280K+cpt ssca100Kx280K+pct ssca100Kx2980K+cpt ssca100Kx2980K+pct ssca100Kx600K+cpt ssca100Kx600K+pct ssca100Kx6030K+cpt ssca100Kx6030K+pct 
1 590526280.000000 590046004.000000 85857928.000000 85890964.000000 18364996.000000 18440460.000000 150999916.000000 149912220.000000 310863032.000000 312318144.000000 52017956.000000 52208552.000000 534732252.000000 535051200.000000 76914548.000000 77147928.000000 15448896.000000 15455620.000000 136510876.000000 136538080.000000 287338680.000000 285219476.000000 44626684.000000 45159604.000000 79683568.000000 80104256.000000 435222160.000000 426626852.000000 29945484.000000 29903072.000000 152310132.000000 151678668.000000 51856988.000000 51928412.000000 239744216.000000 240810328.000000 
2 407924106.000000 606114174.000000 57859612.000000 106590914.000000 17122348.000000 31197417.000000 98160677.000000 164255262.000000 203605544.000000 332786041.000000 37567800.000000 74727649.000000 354643354.000000 540686295.000000 50204357.000000 93926473.000000 13125868.000000 23436554.000000 86417208.000000 149088260.000000 190643437.000000 301512611.000000 30688888.000000 62482702.000000 57569038.000000 101146001.000000 291423657.000000 461973078.000000 24303348.000000 41902731.000000 105467552.000000 175903723.000000 38845205.000000 66935511.000000 166218866.000000 274112403.000000 
3 313215963.000000 454060664.000000 45655608.000000 85478335.000000 16777275.000000 26016236.000000 75379959.000000 125635104.000000 157599113.000000 246517721.000000 32865013.000000 60025893.000000 279876400.000000 405417053.000000 38855848.000000 73238732.000000 11930448.000000 20174837.000000 65203881.000000 112457958.000000 145461821.000000 223787062.000000 25326760.000000 49532702.000000 45321545.000000 76324089.000000 225804469.000000 342758656.000000 22196267.000000 36379340.000000 77094851.000000 130950391.000000 32715081.000000 53404120.000000 126479695.000000 205487953.000000 
4 268347770.000000 356034530.000000 40484814.000000 81449580.000000 16328046.000000 32559047.000000 63578084.000000 110283664.000000 138462789.000000 197533881.000000 30318831.000000 58226681.000000 240774068.000000 313295040.000000 33538272.000000 68632441.000000 11611866.000000 22111400.000000 54692626.000000 98275567.000000 127250344.000000 178441678.000000 22828900.000000 47760984.000000 39794574.000000 71755820.000000 189995463.000000 275930273.000000 20887244.000000 40565267.000000 62907328.000000 113818303.000000 29698965.000000 54219354.000000 105217662.000000 170642248.000000 
5 339015213.000000 320791676.000000 67015643.000000 72949335.000000 28594508.000000 29702607.000000 95867112.000000 99598494.000000 185507873.000000 178842220.000000 51798376.000000 53153785.000000 303833093.000000 285389412.000000 54800633.000000 60939794.000000 18466276.000000 20831163.000000 82980664.000000 87793032.000000 167032480.000000 160162928.000000 37020018.000000 41943980.000000 57726533.000000 63739249.000000 252968039.000000 245880028.000000 35340356.000000 37733152.000000 93058125.000000 100230071.000000 45336505.000000 50786066.000000 146711099.000000 150009680.000000 
6 295386271.000000 277964479.000000 66560759.000000 68980350.000000 32724551.000000 32837574.000000 92058205.000000 93835246.000000 164105012.000000 159943038.000000 51192488.000000 50786878.000000 264209149.000000 247738848.000000 55038016.000000 57858259.000000 21135920.000000 22167980.000000 80267751.000000 83080439.000000 146668932.000000 143021772.000000 38024193.000000 40155290.000000 58386458.000000 59837030.000000 223395160.000000 217448243.000000 39248061.000000 40086665.000000 90592440.000000 93685783.000000 48115640.000000 49649206.000000 134431559.000000 135891711.000000 
7 264094728.000000 267012847.000000 62956604.000000 64057954.000000 34020670.000000 31056264.000000 87916527.000000 88290450.000000 148398571.000000 150515048.000000 49736287.000000 50787736.000000 235758212.000000 238509761.000000 52664486.000000 53386384.000000 22383408.000000 21528335.000000 76678883.000000 77509280.000000 133863598.000000 134989573.000000 36835150.000000 37645988.000000 55637896.000000 56430108.000000 200539311.000000 201152108.000000 41072676.000000 38680642.000000 86221408.000000 86994908.000000 49664030.000000 49221964.000000 124460422.000000 125187228.000000 
8 247224853.000000 245538170.000000 59758326.000000 60543784.000000 34649786.000000 33289480.000000 83610434.000000 84679009.000000 139363674.000000 140325945.000000 50750228.000000 52040311.000000 217319020.000000 215456332.000000 49855865.000000 50657272.000000 22748356.000000 22100036.000000 73663301.000000 74401274.000000 130605924.000000 128170078.000000 35722145.000000 36584532.000000 54132145.000000 55042667.000000 186771488.000000 185011231.000000 41068836.000000 40269003.000000 81562040.000000 82576822.000000 49567173.000000 49090688.000000 117698783.000000 118262638.000000 
9 293405000.000000 292702256.000000 63222624.000000 64686820.000000 34491708.000000 33023368.000000 93927305.000000 95035064.000000 169615668.000000 168930404.000000 55295513.000000 52612032.000000 263321071.000000 260650108.000000 52655392.000000 53867931.000000 23142140.000000 22428870.000000 80339464.000000 81048096.000000 149399272.000000 149664452.000000 37702560.000000 37309084.000000 58005591.000000 56581684.000000 222160407.000000 221877756.000000 41969828.000000 40645864.000000 89219800.000000 90618536.000000 50355180.000000 50246235.000000 136886357.000000 137220572.000000 
10 275318340.000000 298387716.000000 62686484.000000 63341923.000000 32991632.000000 34167901.000000 90677572.000000 93863144.000000 160764708.000000 168733544.000000 52419757.000000 54509656.000000 247968660.000000 263932556.000000 50353772.000000 51534044.000000 22547332.000000 22733857.000000 76361100.000000 78806100.000000 141646136.000000 147799824.000000 37111537.000000 37276157.000000 55471776.000000 57479506.000000 209296038.000000 221326864.000000 40931744.000000 41372963.000000 85697345.000000 88415878.000000 49999468.000000 50059460.000000 129832188.000000 134251568.000000 
