nthreads rand10Mx100M+cpt rand10Mx100M+pct rand10Mx10M+cpt rand10Mx10M+pct rand10Mx50M+cpt rand10Mx50M+pct rmat10Mx100M+cpt rmat10Mx100M+pct rmat10Mx10M+cpt rmat10Mx10M+pct rmat10Mx50M+cpt rmat10Mx50M+pct ssca10Mx118M+cpt ssca10Mx118M+pct ssca10Mx32M+cpt ssca10Mx32M+pct ssca10Mx60M+cpt ssca10Mx60M+pct 
1 51703642312.000000 51668611472.000000 6521032492.000000 6513667328.000000 27296411904.000000 27336526284.000000 49005915004.000000 46262770572.000000 5614284816.000000 5643886156.000000 24434482344.000000 24472496048.000000 57681845196.000000 57680849764.000000 14287493576.000000 14232539096.000000 22324596524.000000 22311293404.000000 
2 27022989792.000000 26564987640.000000 6326142120.000000 6381997731.000000 14991332210.000000 14893454120.000000 24785357957.000000 23665688252.000000 4595055936.000000 4511019605.000000 13679322550.000000 13471162024.000000 31963930008.000000 30884601416.000000 10157264744.000000 10118428551.000000 13390200000.000000 13804944732.000000 
3 19491588405.000000 19264369832.000000 6248558210.000000 6169649672.000000 11784258193.000000 11943895636.000000 18185909566.000000 17639082856.000000 4471419302.000000 4351659521.000000 10682416376.000000 10640305708.000000 23141270742.000000 22244382117.000000 9643456720.000000 9119432724.000000 11285315630.000000 11251893770.000000 
4 15982269935.000000 15638638920.000000 6470109341.000000 6323261412.000000 10683402164.000000 10851511495.000000 14805152514.000000 14293063942.000000 4418557584.000000 4350924351.000000 9288648829.000000 9257470517.000000 21604096428.000000 18656128904.000000 9226762077.000000 9062329830.000000 10561913717.000000 10473381642.000000 
5 14128061527.000000 14143531284.000000 6419857615.000000 6455749744.000000 10368695548.000000 10409729918.000000 12943042040.000000 12846666792.000000 4448006997.000000 4470708932.000000 8725934848.000000 8708227733.000000 19515807785.000000 17430750288.000000 9067333519.000000 9079812013.000000 10358278895.000000 10127364172.000000 
6 13204800018.000000 13108583889.000000 6650357760.000000 6562503977.000000 10196409135.000000 10049678323.000000 11728933855.000000 11577168057.000000 4525326601.000000 4470470404.000000 8341235445.000000 8290765424.000000 18192251496.000000 16231961170.000000 9220557690.000000 9013072230.000000 10222354062.000000 10091627106.000000 
7 12845268589.000000 12780592120.000000 6548452471.000000 6663568260.000000 10167920848.000000 10275258272.000000 11057439476.000000 11140247296.000000 4565471416.000000 4614800147.000000 8130472480.000000 8279114647.000000 18572031154.000000 18163818617.000000 9128563756.000000 9213951460.000000 10019440635.000000 10106161788.000000 
8 12586067701.000000 12914548269.000000 6600499912.000000 6765198291.000000 10126398660.000000 10104045392.000000 10322815582.000000 10659193951.000000 4546565859.000000 4628725436.000000 7886815929.000000 8146970340.000000 18315950472.000000 17723629140.000000 9039067723.000000 9214305854.000000 9722244197.000000 9943930079.000000 
9 13438159360.000000 13645433216.000000 7398383422.000000 7627336908.000000 11460932656.000000 11908090472.000000 11432918209.000000 11405617285.000000 5210797472.000000 5374621000.000000 9149447844.000000 9176092728.000000 20775195548.000000 20801518144.000000 10485389797.000000 10731347632.000000 11545885106.000000 11765216768.000000 
10 13782147044.000000 14686868324.000000 7541339384.000000 7539943206.000000 11889716468.000000 11880679657.000000 11391152732.000000 11877886209.000000 5313559616.000000 5326601160.000000 9240822156.000000 9530552373.000000 22341151026.000000 21812057074.000000 10724693140.000000 10684327798.000000 11744074348.000000 11787994136.000000 
11 13488551035.000000 14248397622.000000 7663243804.000000 7693652468.000000 11877377579.000000 11732327064.000000 11135940997.000000 11529876308.000000 5403275357.000000 5426497288.000000 9194454651.000000 9414681896.000000 21968048372.000000 21356671762.000000 10737552980.000000 10885305196.000000 11778401869.000000 11747261748.000000 
12 13252775377.000000 14227655276.000000 7845953380.000000 7616211516.000000 11797261660.000000 11951142006.000000 10873179948.000000 11447970016.000000 5503647205.000000 5408226295.000000 9245380384.000000 9442861042.000000 22036784128.000000 21495257931.000000 10961861420.000000 10846969426.000000 11806839865.000000 11869692737.000000 
13 13770034116.000000 14020735976.000000 7777724419.000000 7717057629.000000 11812729276.000000 11910771400.000000 10743508916.000000 11245619684.000000 5471202706.000000 5443119004.000000 9185348159.000000 9361509064.000000 21924560930.000000 21726563152.000000 10849911356.000000 10885325397.000000 11793577596.000000 11907291578.000000 
14 13617352780.000000 13945009252.000000 7743104866.000000 7644772885.000000 11745239027.000000 11853319248.000000 10534778380.000000 11016145060.000000 5441588376.000000 5412875491.000000 9131959009.000000 9298137219.000000 21698338745.000000 21568272560.000000 10829026333.000000 10808657704.000000 11777068359.000000 11851586060.000000 
15 13587423045.000000 13557310536.000000 7732865911.000000 7762660066.000000 11683638883.000000 11725835149.000000 10298733037.000000 10738740532.000000 5443656874.000000 5473653290.000000 9007406692.000000 9181520908.000000 21622745187.000000 21435738666.000000 10862873732.000000 10873853382.000000 11729576680.000000 11734706516.000000 
16 13549152263.000000 13533975301.000000 7592995493.000000 7637940469.000000 11649890733.000000 11715713467.000000 10215014509.000000 10669620248.000000 5398215809.000000 5415944858.000000 8985094888.000000 9194867908.000000 21483393871.000000 21501822708.000000 10731337406.000000 10710742760.000000 11681970828.000000 11720397801.000000 
