nthreads rand1Mx100M+cpt rand1Mx100M+pct rand1Mx10M+cpt rand1Mx10M+pct rand1Mx1M+cpt rand1Mx1M+pct rand1Mx20M+cpt rand1Mx20M+pct rand1Mx50M+cpt rand1Mx50M+pct rand1Mx5M+cpt rand1Mx5M+pct rmat1Mx100M+cpt rmat1Mx100M+pct rmat1Mx10M+cpt rmat1Mx10M+pct rmat1Mx1M+cpt rmat1Mx1M+pct rmat1Mx20M+cpt rmat1Mx20M+pct rmat1Mx50M+cpt rmat1Mx50M+pct rmat1Mx5M+cpt rmat1Mx5M+pct ssca1Mx119M+cpt ssca1Mx119M+pct ssca1Mx11M+cpt ssca1Mx11M+pct ssca1Mx29M+cpt ssca1Mx29M+pct ssca1Mx3M+cpt ssca1Mx3M+pct ssca1Mx59M+cpt ssca1Mx59M+pct ssca1Mx6M+cpt ssca1Mx6M+pct 
1 28704042340.000000 28847005304.000000 3611423716.000000 3607422348.000000 499539360.000000 500047992.000000 6736969040.000000 6747934504.000000 23013540560.000000 22975257432.000000 1958593160.000000 1958435600.000000 20430692928.000000 20464680356.000000 2798510672.000000 2795459368.000000 372068504.000000 371464548.000000 5105648648.000000 5093145860.000000 16667452680.000000 16638309584.000000 1500851732.000000 1498045200.000000 20451539708.000000 29555298660.000000 2808839636.000000 2809175328.000000 5978947816.000000 5992018224.000000 850393120.000000 850408164.000000 16419953552.000000 16388104148.000000 1634984364.000000 1639001600.000000 
2 15395712332.000000 14217440865.000000 1955961599.000000 1919738532.000000 475826804.000000 476311127.000000 3575988752.000000 3450627467.000000 11978518024.000000 10599256621.000000 1107134184.000000 1114363834.000000 11425959516.000000 10586459159.000000 1495697604.000000 1483586591.000000 276946448.000000 286849848.000000 2737449761.000000 2663911761.000000 9094649727.000000 8014470805.000000 833259044.000000 841251294.000000 11139214860.000000 12111052797.000000 1634570918.000000 1649738948.000000 3384970668.000000 3321646091.000000 650420952.000000 627981409.000000 8808622428.000000 7991738748.000000 1001355864.000000 1049621390.000000 
3 10828756941.000000 10511035373.000000 1409888005.000000 1385983040.000000 485052235.000000 478644369.000000 2546729989.000000 2494011250.000000 8383718256.000000 7862112176.000000 885110799.000000 883532015.000000 8247897537.000000 7980704926.000000 1064592004.000000 1057575458.000000 254665370.000000 253426172.000000 1937171368.000000 1906341720.000000 6498207088.000000 6051904380.000000 623445671.000000 623454552.000000 7995350717.000000 9131250036.000000 1200223380.000000 1204074283.000000 2419186041.000000 2387190018.000000 586267869.000000 585372164.000000 6197770556.000000 5835579128.000000 839461714.000000 842774817.000000 
4 8597789430.000000 8143020709.000000 1187447508.000000 1145704681.000000 480201364.000000 473707392.000000 2070031696.000000 1981758371.000000 6769299631.000000 6050298772.000000 822156716.000000 814562726.000000 6605634997.000000 6168757566.000000 873927352.000000 847551735.000000 248975764.000000 248779193.000000 1553135633.000000 1491354404.000000 5132891928.000000 4620061014.000000 531082316.000000 530777002.000000 6424905060.000000 7021499386.000000 1048848552.000000 1047019775.000000 1966786736.000000 1893052402.000000 596683844.000000 582478144.000000 5040829108.000000 4480126456.000000 786066932.000000 791467564.000000 
5 7040734144.000000 6932420216.000000 1063627967.000000 1062893283.000000 482921244.000000 480982424.000000 1728609650.000000 1700072340.000000 5503773733.000000 5203527972.000000 785963128.000000 777827527.000000 5504444084.000000 5339898960.000000 748450157.000000 740257108.000000 249259212.000000 245956788.000000 1295846699.000000 1273398656.000000 4185692648.000000 3986689488.000000 481228729.000000 480615512.000000 5276652365.000000 5952353743.000000 969952581.000000 965701899.000000 1657064566.000000 1638226460.000000 587961272.000000 588999529.000000 4087927429.000000 3813221733.000000 763018616.000000 748780888.000000 
6 6060582250.000000 5887823429.000000 1006521331.000000 978457799.000000 487037048.000000 481326314.000000 1514896107.000000 1457786717.000000 4614932753.000000 4369457861.000000 765074136.000000 756380140.000000 4650094337.000000 4508207804.000000 669756235.000000 656424094.000000 247169641.000000 245372979.000000 1126322834.000000 1093113694.000000 3468082213.000000 3330442638.000000 447528579.000000 446095010.000000 4513476014.000000 5015942105.000000 918361249.000000 903713748.000000 1470291776.000000 1431142936.000000 596125419.000000 586401751.000000 3427026252.000000 3236843991.000000 752349343.000000 743394074.000000 
7 5347606871.000000 5367861010.000000 978263279.000000 1008770597.000000 488311863.000000 493412316.000000 1384843688.000000 1398302135.000000 4180963714.000000 4196091123.000000 750924781.000000 772503936.000000 4166839574.000000 4134639424.000000 619397448.000000 631366188.000000 249076270.000000 247185919.000000 1011233300.000000 1022163855.000000 3104355309.000000 3110769268.000000 425323053.000000 436859792.000000 3995041806.000000 4552685277.000000 879301107.000000 905019054.000000 1371634348.000000 1385821496.000000 597081836.000000 598906917.000000 3139898764.000000 3128436627.000000 745618247.000000 753224812.000000 
8 4859023425.000000 4830130728.000000 975374504.000000 1018636243.000000 484922175.000000 496038030.000000 1382928196.000000 1402252314.000000 3781998738.000000 3775932361.000000 750168185.000000 764788768.000000 3751784800.000000 3725192916.000000 586395332.000000 619172590.000000 249158088.000000 249221983.000000 934079064.000000 942924361.000000 2780202392.000000 2776394899.000000 414347234.000000 434589847.000000 3607143549.000000 4058454195.000000 862089812.000000 900986429.000000 1330631199.000000 1364305564.000000 589694444.000000 598492276.000000 2880256865.000000 2891136660.000000 735518188.000000 745464178.000000 
9 4619032580.000000 4593777692.000000 1059198696.000000 1065279963.000000 560149380.000000 581257092.000000 1416409955.000000 1421622135.000000 3611901068.000000 3618106880.000000 889660568.000000 913282948.000000 4048872101.000000 4009756199.000000 661524252.000000 671845718.000000 298357907.000000 301839856.000000 1074693913.000000 1080128036.000000 2927876542.000000 2937755035.000000 483929776.000000 490915984.000000 3474099740.000000 3974208392.000000 1010198618.000000 1034628947.000000 1402752668.000000 1410595328.000000 706475204.000000 733613548.000000 2868010352.000000 2878314156.000000 877900697.000000 897576300.000000 
10 4343223780.000000 4558730374.000000 1088381561.000000 1176696040.000000 570091452.000000 577985385.000000 1462004921.000000 1626563909.000000 3616429976.000000 3634838456.000000 897200368.000000 896513320.000000 3773099316.000000 3838240424.000000 653871172.000000 711623104.000000 301522980.000000 299530492.000000 1014336327.000000 1089280934.000000 2808257032.000000 2808397751.000000 481876619.000000 502351061.000000 3317739647.000000 3763573647.000000 1024959405.000000 1044819320.000000 1419509480.000000 1594122935.000000 724445828.000000 723786248.000000 2941136485.000000 2955680847.000000 899405557.000000 904139411.000000 
