nthreads rand10Mx100M+cpt rand10Mx100M+pct rand10Mx10M+cpt rand10Mx10M+pct rand10Mx200M+cpt rand10Mx200M+pct rand10Mx500M+cpt rand10Mx500M+pct rand10Mx50M+cpt rand10Mx50M+pct rmat10Mx100M+cpt rmat10Mx100M+pct rmat10Mx10M+cpt rmat10Mx10M+pct rmat10Mx200M+cpt rmat10Mx200M+pct rmat10Mx500M+cpt rmat10Mx500M+pct rmat10Mx50M+cpt rmat10Mx50M+pct ssca10Mx118M+cpt ssca10Mx118M+pct ssca10Mx300M+cpt ssca10Mx300M+pct ssca10Mx32M+cpt ssca10Mx32M+pct ssca10Mx60M+cpt ssca10Mx60M+pct 
1 35267644596.000000 35231737904.000000 5621353880.000000 5615249408.000000 94032343264.000000 93279085476.000000 153487012408.000000 153593270612.000000 19603754752.000000 19503888708.000000 30917959636.000000 31015433536.000000 4468916768.000000 4492317256.000000 72418944972.000000 72514976672.000000 133938403916.000000 133921366032.000000 16981695768.000000 16919148884.000000 30130681360.000000 30181847284.000000 62177620552.000000 62229045508.000000 12323698320.000000 12348604600.000000 18692112124.000000 18644121540.000000 
2 26092687682.000000 25874213526.000000 6213124050.000000 6010833596.000000 73236764660.000000 68641122086.000000 117662973044.000000 115683141072.000000 14300005620.000000 14337732498.000000 23232387358.000000 22928197882.000000 4306766790.000000 4270211764.000000 48386321508.000000 46495183174.000000 103960768880.000000 99856481196.000000 13001125166.000000 12931349344.000000 21474817200.000000 21479751822.000000 46023450760.000000 45802809664.000000 9433167076.000000 9518562070.000000 12701592126.000000 13098550290.000000 
3 16803588202.000000 16658182200.000000 5268339664.000000 5307330438.000000 43259179502.000000 41750051924.000000 70926338564.000000 70436387268.000000 10356330440.000000 10353939708.000000 14553667114.000000 14471802150.000000 3636094576.000000 3605319598.000000 27950456430.000000 27332163006.000000 60381657382.000000 59488199726.000000 8817345940.000000 8908585954.000000 13915390152.000000 14025623956.000000 29238914436.000000 29118769668.000000 7986717084.000000 7923088782.000000 9867661884.000000 10041002344.000000 
4 14933685754.000000 14798148740.000000 5978345152.000000 5860773878.000000 39127240116.000000 36991386286.000000 63732461196.000000 62575826704.000000 9891547306.000000 10091865054.000000 13745436000.000000 13586084684.000000 4104298932.000000 4045215738.000000 26462230052.000000 25648884944.000000 56292083776.000000 54748814398.000000 8597196168.000000 8615924832.000000 13009440024.000000 13342051774.000000 25675867134.000000 25463932076.000000 8400678998.000000 8340934168.000000 9608017604.000000 9704169536.000000 
5 12360942902.000000 12500438404.000000 5516843972.000000 5410694694.000000 28899511174.000000 27074591972.000000 46441556460.000000 45490984582.000000 9028565792.000000 9130798596.000000 10776701456.000000 10762813874.000000 3636049018.000000 3611982236.000000 18769806626.000000 18252113854.000000 39497008638.000000 38492150118.000000 7405094578.000000 7423435852.000000 11297301160.000000 11407048788.000000 19915261196.000000 19701283608.000000 7822611876.000000 7733700038.000000 8985565908.000000 8957320470.000000 
6 12107647922.000000 12141711398.000000 6045220948.000000 6097584176.000000 27876220636.000000 26404062990.000000 46031032240.000000 44472925748.000000 9254008054.000000 9272682654.000000 10898314678.000000 10808138676.000000 4172225640.000000 4173686034.000000 19311733632.000000 18689197200.000000 40316322232.000000 38852539742.000000 7548037680.000000 7503944642.000000 11168197926.000000 11259488130.000000 19240377916.000000 19093010894.000000 8344470988.000000 8380662992.000000 9229697118.000000 9248564500.000000 
7 11495142016.000000 11651612016.000000 5659639878.000000 5692314960.000000 23026685868.000000 21795316872.000000 35847449706.000000 35255512080.000000 9125996914.000000 9067372342.000000 9533309922.000000 9604400628.000000 3806640274.000000 3791387956.000000 14831232010.000000 14583588176.000000 30486331916.000000 29925940748.000000 7195233670.000000 7139256564.000000 10674173222.000000 10807922408.000000 16834266150.000000 16745075670.000000 7909668872.000000 8034669774.000000 9016601490.000000 9088081692.000000 
8 11765292010.000000 11932780644.000000 6325965348.000000 6341518126.000000 23454865346.000000 22422963812.000000 36769103132.000000 36214324092.000000 9511670780.000000 9756385414.000000 10059292936.000000 10099103230.000000 4369656218.000000 4350959586.000000 15684885660.000000 15477469810.000000 32516449860.000000 31873581208.000000 7500491496.000000 7557350600.000000 11076830592.000000 11165390974.000000 17080634682.000000 17129013636.000000 8746020466.000000 8663279278.000000 9497478104.000000 9416744872.000000 
9 10849352564.000000 11136531836.000000 5940862456.000000 6861020124.000000 19171358944.000000 19025369534.000000 29830694110.000000 29332738490.000000 9081076318.000000 9192002210.000000 8701370620.000000 8885417166.000000 3993745616.000000 3990267648.000000 12612981854.000000 12593242184.000000 25005126446.000000 25004330550.000000 6966311626.000000 6981150648.000000 10497831716.000000 10363778660.000000 14818782592.000000 15324203486.000000 8309290346.000000 8301095842.000000 9189179864.000000 9206409400.000000 
10 11686591980.000000 11862789102.000000 6019296060.000000 6088984806.000000 19915790190.000000 19014569898.000000 28601834398.000000 28214006128.000000 9779742402.000000 9741216506.000000 9261961062.000000 9379794492.000000 4112841190.000000 4135973552.000000 12208001406.000000 12125051098.000000 24468676778.000000 24070315066.000000 7504144432.000000 7369725230.000000 10999240680.000000 11189602332.000000 15532373860.000000 15775156416.000000 8684757538.000000 8516241720.000000 9643019076.000000 9505732808.000000 
