nthreads rand1Mx100M+cpt rand1Mx100M+pct rand1Mx10M+cpt rand1Mx10M+pct rand1Mx1M+cpt rand1Mx1M+pct rand1Mx20M+cpt rand1Mx20M+pct rand1Mx50M+cpt rand1Mx50M+pct rand1Mx5M+cpt rand1Mx5M+pct rmat1Mx100M+cpt rmat1Mx100M+pct rmat1Mx10M+cpt rmat1Mx10M+pct rmat1Mx1M+cpt rmat1Mx1M+pct rmat1Mx20M+cpt rmat1Mx20M+pct rmat1Mx50M+cpt rmat1Mx50M+pct rmat1Mx5M+cpt rmat1Mx5M+pct ssca1Mx119M+cpt ssca1Mx119M+pct ssca1Mx11M+cpt ssca1Mx11M+pct ssca1Mx29M+cpt ssca1Mx29M+pct ssca1Mx3M+cpt ssca1Mx3M+pct ssca1Mx59M+cpt ssca1Mx59M+pct ssca1Mx6M+cpt ssca1Mx6M+pct 
1 16857376184.000000 16784032444.000000 2585742600.000000 2510713104.000000 448409816.000000 452592600.000000 4653662336.000000 4649781240.000000 9997686068.000000 10025811620.000000 1631594596.000000 1655062576.000000 14431811452.000000 14403653232.000000 2123422960.000000 2042413104.000000 335402160.000000 336184724.000000 3914059412.000000 3694581712.000000 8515861912.000000 8409167328.000000 1351173536.000000 1363997968.000000 16118273248.000000 16154432208.000000 2258046972.000000 2177686404.000000 4311841232.000000 4420094372.000000 773153740.000000 769822128.000000 9136534956.000000 9153257068.000000 1376384096.000000 1354258432.000000 
2 13680628664.000000 12497781644.000000 1848265494.000000 1706996670.000000 439338982.000000 436051766.000000 3401380232.000000 3305929686.000000 7714692252.000000 7188485642.000000 1112937454.000000 1143913780.000000 10017082268.000000 9417229008.000000 1370175096.000000 1366108282.000000 244693770.000000 260917302.000000 2561242958.000000 2376056960.000000 5792925292.000000 5438783994.000000 841842270.000000 882137632.000000 11705022946.000000 11523672206.000000 1516854126.000000 1527085380.000000 3137631076.000000 3176246448.000000 580552400.000000 577154070.000000 6385011672.000000 6364000040.000000 921823314.000000 964318792.000000 
3 8123893340.000000 7901784164.000000 1267116712.000000 1250733250.000000 415499996.000000 422175372.000000 2395825284.000000 2370477262.000000 4633579574.000000 4494108572.000000 891865518.000000 913752986.000000 6272395674.000000 6194683796.000000 971456250.000000 956268224.000000 221096428.000000 229257824.000000 1789040504.000000 1660289494.000000 3588661092.000000 3486884462.000000 632419288.000000 661468892.000000 7325066022.000000 7263023334.000000 1095043212.000000 1088210878.000000 2204339150.000000 2235677978.000000 547011502.000000 532101222.000000 4569925662.000000 4571992252.000000 725792480.000000 752971572.000000 
4 7733343534.000000 7254728192.000000 1087048186.000000 1000754024.000000 418627400.000000 414913364.000000 1927603640.000000 1869138436.000000 4345591148.000000 4081832404.000000 822804340.000000 849888042.000000 5772121860.000000 5465835408.000000 780849664.000000 766265126.000000 213336968.000000 221767822.000000 1423966952.000000 1304215850.000000 3269522892.000000 3098531602.000000 547562392.000000 571287336.000000 6588390348.000000 6464471614.000000 941940136.000000 936439968.000000 1775098062.000000 1759598620.000000 531558356.000000 517319052.000000 3645480424.000000 3614511034.000000 700217480.000000 704239722.000000 
5 5509502464.000000 5282348624.000000 950911212.000000 938504208.000000 415603036.000000 421119728.000000 1635328584.000000 1579567752.000000 3168563360.000000 3011030148.000000 808986356.000000 823016956.000000 4274696640.000000 4140177286.000000 680937424.000000 655231924.000000 212278808.000000 215537762.000000 1205751548.000000 1096260530.000000 2428769004.000000 2311042576.000000 505080070.000000 525554826.000000 4914922434.000000 4818298688.000000 861308692.000000 850218620.000000 1520985724.000000 1510418938.000000 528770908.000000 517068288.000000 3092535060.000000 3059487576.000000 683512792.000000 650740288.000000 
6 5578425480.000000 5275295150.000000 910661524.000000 842122954.000000 422762630.000000 427094182.000000 1405082758.000000 1352924760.000000 3123526540.000000 2968977260.000000 790595766.000000 805776868.000000 4205434410.000000 4001735450.000000 602903732.000000 585551208.000000 212257876.000000 214339260.000000 1032705332.000000 943676788.000000 2350308774.000000 2212755734.000000 466752240.000000 483417098.000000 4787379394.000000 4645647788.000000 821517654.000000 797159040.000000 1325282440.000000 1308027572.000000 527346856.000000 520436104.000000 2667672018.000000 2651287370.000000 672626436.000000 650567164.000000 
7 4229889476.000000 4095483640.000000 882827252.000000 860649106.000000 422983498.000000 442059696.000000 1333972562.000000 1296420784.000000 2487518498.000000 2383653994.000000 819267816.000000 851532290.000000 3362331668.000000 3250039780.000000 577104530.000000 552906248.000000 214921200.000000 217566392.000000 961705222.000000 888656772.000000 1902133594.000000 1812658454.000000 470056768.000000 487756984.000000 3851866380.000000 3793310434.000000 813181842.000000 793149936.000000 1260346240.000000 1270948600.000000 534405552.000000 525784620.000000 2469811890.000000 2459329486.000000 677049244.000000 656799924.000000 
8 4484467380.000000 4335349802.000000 894847488.000000 845203872.000000 428908680.000000 435881466.000000 1253375026.000000 1244092640.000000 2566934480.000000 2467222112.000000 841324946.000000 866028330.000000 3377523188.000000 3282843220.000000 542563504.000000 530444976.000000 220313004.000000 221103300.000000 889491664.000000 804168340.000000 1916506712.000000 1832106104.000000 462861294.000000 485399786.000000 3932340352.000000 3876310472.000000 825375536.000000 791460450.000000 1199119102.000000 1221708088.000000 546548932.000000 535590146.000000 2318639402.000000 2295875056.000000 687871434.000000 664575978.000000 
9 3985190754.000000 3400310174.000000 796509184.000000 785065568.000000 439312514.000000 449362126.000000 1068297984.000000 1049503380.000000 2000766068.000000 1953159938.000000 800680968.000000 811980392.000000 2756685514.000000 2717190600.000000 495767452.000000 487648178.000000 223721378.000000 224297182.000000 708181746.000000 720973646.000000 1528003610.000000 1486190526.000000 399358732.000000 417024270.000000 3167743956.000000 3137916060.000000 777739408.000000 754679504.000000 1034000854.000000 1164563058.000000 557143178.000000 549129504.000000 2022999976.000000 2050712474.000000 664451296.000000 668910368.000000 
10 3331377582.000000 3281548078.000000 875904328.000000 889892160.000000 444113504.000000 453093816.000000 1212418900.000000 1245927350.000000 2050716224.000000 1966280194.000000 655642228.000000 668236160.000000 2605277322.000000 2570054872.000000 507324180.000000 518506188.000000 227718514.000000 226698508.000000 789662510.000000 763515588.000000 1516689768.000000 1464024438.000000 362029406.000000 371373744.000000 3163733540.000000 3103903856.000000 813542704.000000 787240268.000000 1169608644.000000 1190264776.000000 562823966.000000 555475676.000000 2135426352.000000 2121087280.000000 704274282.000000 670825656.000000 
11 2986065696.000000 2996237486.000000 784952038.000000 783264560.000000 446673948.000000 466512044.000000 1043038386.000000 1049369758.000000 1761461520.000000 1730266068.000000 836811616.000000 875927826.000000 2387491542.000000 2393364760.000000 467253488.000000 461923372.000000 230515204.000000 233570476.000000 705388886.000000 660086988.000000 1320212428.000000 1305785308.000000 442259992.000000 443804228.000000 2805086846.000000 2845880520.000000 769506904.000000 755786230.000000 998106794.000000 1024086934.000000 565081952.000000 571554344.000000 1762294216.000000 1821667948.000000 674454600.000000 694418948.000000 
12 2927221664.000000 2861928314.000000 852088654.000000 843995988.000000 445419770.000000 471055656.000000 1150014502.000000 1126414960.000000 1810014148.000000 1693966418.000000 888119664.000000 913646356.000000 2292326062.000000 2252819924.000000 488952278.000000 480030050.000000 229830670.000000 235744614.000000 722564052.000000 671228582.000000 1338213050.000000 1269451202.000000 451084450.000000 484401460.000000 2826109072.000000 2725187548.000000 759174796.000000 788431500.000000 1054870162.000000 1067750764.000000 562852290.000000 578001604.000000 1998115820.000000 1966403006.000000 699013504.000000 693671212.000000 
13 3538021332.000000 3582411872.000000 1150350184.000000 1116650980.000000 536574148.000000 600171732.000000 1492007754.000000 1537665926.000000 2328372982.000000 2277310372.000000 1155310934.000000 1253590902.000000 2983293080.000000 2986660728.000000 652045880.000000 631861072.000000 297428738.000000 307962074.000000 968060010.000000 889387982.000000 1760082216.000000 1733610764.000000 591129286.000000 632549788.000000 3403582626.000000 3420388538.000000 1077308168.000000 1035146706.000000 1413697808.000000 1486100024.000000 717641580.000000 765307812.000000 2381506608.000000 2435907764.000000 926228588.000000 943904480.000000 
14 3352603928.000000 3624406366.000000 1109195964.000000 1174204220.000000 552639316.000000 598722484.000000 1474457332.000000 1618970208.000000 2276640192.000000 2406351236.000000 1145921648.000000 1228741710.000000 2793411704.000000 2947955680.000000 647433596.000000 672839172.000000 302043648.000000 309008542.000000 902800492.000000 910322862.000000 1667278004.000000 1751993768.000000 563492150.000000 640755782.000000 3279254724.000000 3494356870.000000 1070475832.000000 1045234980.000000 1387054084.000000 1548097720.000000 741609512.000000 760362302.000000 2379298160.000000 2563161074.000000 917880334.000000 951406184.000000 
15 3234617162.000000 3482644466.000000 1159875188.000000 1195897082.000000 569284498.000000 622019484.000000 1519030060.000000 1597480722.000000 2266386960.000000 2337761138.000000 1197794300.000000 1243272236.000000 2656269756.000000 2801820680.000000 646213608.000000 655796738.000000 310801894.000000 319545362.000000 929198960.000000 883797456.000000 1613186076.000000 1685348420.000000 600244334.000000 654258502.000000 3183685714.000000 3371742202.000000 1130351506.000000 1109455294.000000 1418551228.000000 1523884548.000000 761971820.000000 793895740.000000 2369264472.000000 2495254378.000000 986300568.000000 972705716.000000 
16 3131380306.000000 3447920988.000000 1147524024.000000 1178270012.000000 588693316.000000 619689320.000000 1546805718.000000 1620999318.000000 2222923184.000000 2355553074.000000 1201333290.000000 1234816328.000000 2573541050.000000 2725010240.000000 635938780.000000 647217608.000000 314874756.000000 318440360.000000 898406928.000000 884436428.000000 1568967132.000000 1671025914.000000 590163536.000000 644564612.000000 3116899540.000000 3351843180.000000 1125899580.000000 1072817400.000000 1420043934.000000 1516325304.000000 788685096.000000 789755286.000000 2342351454.000000 2521239358.000000 1004957300.000000 973660634.000000 
17 3040487408.000000 3289091896.000000 1150490708.000000 1165878726.000000 614681208.000000 642428746.000000 1504029392.000000 1579850404.000000 2189603508.000000 2306298302.000000 1184813184.000000 1261329270.000000 2474726292.000000 2624635688.000000 622164964.000000 641000476.000000 319058076.000000 326027034.000000 875768382.000000 849659972.000000 1529644276.000000 1621582968.000000 583734476.000000 631139600.000000 3060379660.000000 3279989596.000000 1128462258.000000 1091717298.000000 1386961072.000000 1503326772.000000 807873804.000000 813745396.000000 2294780896.000000 2474907276.000000 1025411736.000000 1008356292.000000 
18 2778500442.000000 2981747692.000000 1097218896.000000 1073820380.000000 644294730.000000 631819880.000000 1359710900.000000 1380804490.000000 2007040716.000000 2057453256.000000 1193194832.000000 1208143908.000000 2290466138.000000 2274592892.000000 580423568.000000 573806502.000000 328233832.000000 324304388.000000 776007584.000000 741844904.000000 1358432380.000000 1393341448.000000 551285040.000000 598120492.000000 2907798054.000000 2999519094.000000 1096546764.000000 1032129960.000000 1245682484.000000 1329005540.000000 845909504.000000 808756652.000000 2148616356.000000 2261710518.000000 1024999498.000000 965354796.000000 
19 2856159286.000000 3162719976.000000 1163550348.000000 1166996432.000000 636301472.000000 654268558.000000 1530725776.000000 1544572436.000000 2203426250.000000 2244180308.000000 1202823724.000000 1271625372.000000 2791710972.000000 2460969150.000000 614557500.000000 608609396.000000 326635520.000000 328156972.000000 881381016.000000 801285510.000000 1511181880.000000 1550913264.000000 589624962.000000 633756792.000000 3038118326.000000 3169591160.000000 1127760712.000000 1080048272.000000 1395915908.000000 1460322714.000000 842475720.000000 827306048.000000 2325805618.000000 2402692270.000000 1012978012.000000 1005031808.000000 
20 3001021988.000000 3124255530.000000 1173638928.000000 1253970996.000000 644400088.000000 645428534.000000 1804495452.000000 1546762534.000000 2236087676.000000 2232382032.000000 1272836896.000000 1343194274.000000 2313239810.000000 2414032522.000000 566869480.000000 593355926.000000 326012398.000000 321961420.000000 817004904.000000 795273300.000000 1501361528.000000 1532362120.000000 637093904.000000 668521148.000000 3075169236.000000 3154906272.000000 1103523420.000000 1080872880.000000 1335031630.000000 1440673504.000000 834815976.000000 820352118.000000 2296098710.000000 2368654832.000000 1014793364.000000 1007648106.000000 
21 2883429702.000000 2928696582.000000 1132518494.000000 1130768306.000000 633861654.000000 658593952.000000 1456557800.000000 1472614244.000000 2158173896.000000 2104282228.000000 1207407640.000000 1206754684.000000 2202349790.000000 2250819924.000000 594737582.000000 592335882.000000 325324656.000000 329427242.000000 818862092.000000 782871570.000000 1446469888.000000 1418693924.000000 566998784.000000 600750342.000000 3009978272.000000 2988284220.000000 1101506106.000000 1063833450.000000 1343752824.000000 1388695716.000000 837474508.000000 828401702.000000 2246198408.000000 2276173620.000000 1010157076.000000 1011452974.000000 
22 2735796886.000000 2698732026.000000 1143907708.000000 999882272.000000 635782704.000000 656210798.000000 1346784640.000000 1295600910.000000 2072734392.000000 1961856360.000000 1255466700.000000 1265103154.000000 2134078660.000000 2098784540.000000 559051384.000000 531588390.000000 325318968.000000 327523464.000000 745638024.000000 691742292.000000 1308406414.000000 1319957966.000000 578520318.000000 622353240.000000 2814620250.000000 2855685320.000000 1069757320.000000 1018463046.000000 1206087128.000000 1253144482.000000 835366380.000000 820326480.000000 2143318256.000000 2203652060.000000 1015404392.000000 977490384.000000 
23 2817112416.000000 2909754434.000000 1122675848.000000 1108489636.000000 627700844.000000 668165904.000000 1460184872.000000 1494917284.000000 2135162172.000000 2123546520.000000 1247812920.000000 1315895184.000000 2141198420.000000 2233963872.000000 576911112.000000 581544978.000000 324048734.000000 331130968.000000 787433680.000000 736343478.000000 1356842532.000000 1375769946.000000 602033594.000000 661816724.000000 2909812144.000000 2953586364.000000 1075729568.000000 1072969268.000000 1257508634.000000 1364256076.000000 827607804.000000 831668480.000000 2217441518.000000 2266544350.000000 1016695910.000000 1014402092.000000 
