nthreads rand100Kx10000K+cpt rand100Kx10000K+pct rand100Kx1000K+cpt rand100Kx1000K+pct rand100Kx100K+cpt rand100Kx100K+pct rand100Kx2000K+cpt rand100Kx2000K+pct rand100Kx5000K+cpt rand100Kx5000K+pct rand100Kx500K+cpt rand100Kx500K+pct rmat100Kx10000K+cpt rmat100Kx10000K+pct rmat100Kx1000K+cpt rmat100Kx1000K+pct rmat100Kx100K+cpt rmat100Kx100K+pct rmat100Kx2000K+cpt rmat100Kx2000K+pct rmat100Kx5000K+cpt rmat100Kx5000K+pct rmat100Kx500K+cpt rmat100Kx500K+pct ssca100Kx1180K+cpt ssca100Kx1180K+pct ssca100Kx12000K+cpt ssca100Kx12000K+pct ssca100Kx280K+cpt ssca100Kx280K+pct ssca100Kx2980K+cpt ssca100Kx2980K+pct ssca100Kx600K+cpt ssca100Kx600K+pct ssca100Kx6030K+cpt ssca100Kx6030K+pct 
1 705776644.000000 707679840.000000 83966424.000000 83627700.000000 18053956.000000 18029700.000000 146949328.000000 147288264.000000 372771016.000000 373246404.000000 50728036.000000 50802600.000000 631544320.000000 631512792.000000 73922064.000000 74246504.000000 15177568.000000 15208288.000000 132630496.000000 132010600.000000 339392604.000000 340529648.000000 43576892.000000 43579424.000000 79566048.000000 79403548.000000 512356320.000000 511602320.000000 29942048.000000 29894780.000000 151246040.000000 151433808.000000 52118912.000000 52296908.000000 285525868.000000 285527928.000000 
2 375466594.000000 595886356.000000 56690008.000000 107309038.000000 17612544.000000 31861114.000000 93917736.000000 162115944.000000 210415320.000000 328749452.000000 37072056.000000 77799400.000000 334329034.000000 528653088.000000 48098210.000000 91768920.000000 12847774.000000 23344132.000000 83000594.000000 144410034.000000 190967060.000000 300596522.000000 29658292.000000 62579200.000000 57548842.000000 101683944.000000 284834244.000000 460346056.000000 24155544.000000 43022696.000000 104989082.000000 175124096.000000 39126756.000000 69047664.000000 166801680.000000 273274714.000000 
3 279713352.000000 426930856.000000 45092552.000000 88075714.000000 16347584.000000 26632140.000000 72233942.000000 124795484.000000 160619576.000000 250233580.000000 31979478.000000 64158852.000000 249568886.000000 382871464.000000 37623834.000000 73704284.000000 11711592.000000 20349344.000000 62552316.000000 109375604.000000 142454536.000000 226427688.000000 24743336.000000 51465644.000000 44512248.000000 79187124.000000 210600320.000000 336039988.000000 21808974.000000 36693438.000000 75621206.000000 130969436.000000 32488784.000000 56213672.000000 123912824.000000 203624680.000000 
4 237415040.000000 333950148.000000 39715370.000000 85296740.000000 16087158.000000 33814902.000000 61100902.000000 111099412.000000 135186758.000000 203284480.000000 29506350.000000 60799092.000000 215986910.000000 298937110.000000 32469904.000000 71367108.000000 11187848.000000 23061558.000000 52554356.000000 98840264.000000 120586272.000000 184001824.000000 22029948.000000 50213820.000000 38949892.000000 74632304.000000 175407420.000000 271364666.000000 20827368.000000 41938288.000000 61678140.000000 115094256.000000 29336160.000000 55713120.000000 102524972.000000 170886542.000000 
5 209971812.000000 291614966.000000 36849784.000000 77082078.000000 15831370.000000 30865366.000000 54272046.000000 100733260.000000 117609748.000000 182462918.000000 27909592.000000 55302956.000000 191158994.000000 266061200.000000 29442898.000000 64388868.000000 10958838.000000 21664488.000000 46316096.000000 88779292.000000 103843422.000000 163685932.000000 20437052.000000 44217106.000000 35580202.000000 66030448.000000 153418324.000000 233892858.000000 20329516.000000 39417888.000000 55371272.000000 101988296.000000 27498528.000000 52542896.000000 88320870.000000 148746264.000000 
6 192416298.000000 254984738.000000 35103980.000000 71927836.000000 15845498.000000 34362740.000000 50128384.000000 96363466.000000 105385440.000000 162855360.000000 27059660.000000 55491768.000000 174278976.000000 229950708.000000 27575968.000000 61153072.000000 10856208.000000 23250212.000000 42538742.000000 86318528.000000 92745390.000000 145365662.000000 19445932.000000 42034438.000000 33521540.000000 62676678.000000 138029720.000000 208111384.000000 20068568.000000 41967788.000000 51417692.000000 95934114.000000 26578024.000000 52948940.000000 79096816.000000 135559218.000000 
7 253308044.000000 240295482.000000 60017294.000000 66631612.000000 28048752.000000 32574284.000000 83847838.000000 91854236.000000 149219508.000000 153276890.000000 48707220.000000 54510500.000000 225942964.000000 220343066.000000 48240096.000000 56586034.000000 17936716.000000 22400260.000000 69857694.000000 81982464.000000 127921666.000000 137464276.000000 33845636.000000 38981984.000000 54703620.000000 59706242.000000 191164760.000000 192780110.000000 34628928.000000 40398986.000000 80811660.000000 89296762.000000 45509036.000000 50354680.000000 118723424.000000 126275364.000000 
8 226721634.000000 220843670.000000 60997788.000000 63583516.000000 32906104.000000 34691796.000000 84860680.000000 88798796.000000 148300256.000000 142789000.000000 52388356.000000 62673146.000000 201805392.000000 202589778.000000 50024540.000000 53497696.000000 21121728.000000 23141718.000000 72599088.000000 79392742.000000 121773986.000000 128933484.000000 35807208.000000 37708832.000000 55248422.000000 56403000.000000 180651624.000000 180645398.000000 40030536.000000 42029198.000000 81519234.000000 85100736.000000 49598258.000000 51133272.000000 116292416.000000 120535940.000000 
9 207596630.000000 205988206.000000 59629412.000000 61081680.000000 34851732.000000 33195712.000000 83104658.000000 84066800.000000 131842162.000000 133500526.000000 55141758.000000 53461790.000000 187650656.000000 187536814.000000 49039752.000000 49791642.000000 22433928.000000 22515832.000000 71940592.000000 73848724.000000 116371146.000000 120259484.000000 36226604.000000 37416864.000000 56194854.000000 55331796.000000 167792688.000000 168082422.000000 42006342.000000 40989576.000000 78931176.000000 79986852.000000 50400436.000000 50307900.000000 111551024.000000 113005740.000000 
10 202292860.000000 201018710.000000 58274070.000000 59998800.000000 36158396.000000 34915576.000000 80893104.000000 81413648.000000 127956354.000000 129609688.000000 54891064.000000 53590912.000000 182938416.000000 182288064.000000 46994180.000000 47536056.000000 23221806.000000 23109048.000000 69845488.000000 71737560.000000 115089826.000000 117642180.000000 35891212.000000 35813176.000000 56502978.000000 55467180.000000 161728406.000000 163170650.000000 42846532.000000 41939270.000000 76061910.000000 76686424.000000 50588988.000000 50234288.000000 109168092.000000 110649572.000000 
